Email,Avatar,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,App_vs_Web_ratio,Spend_per_membership_year,Avatar_freq,cluster
mstephenson@fernandez.com,Violet,12.66,39.58,4.08,587.95,0.31985850631989626,144.10535683692234,0.006,0
hduke@hotmail.com,DarkGreen,11.11,37.27,2.66,392.2,0.2980949745614442,147.443553592649,0.01,0
pallen@yahoo.com,Bisque,11.33,37.11,4.1,487.55,0.30530853394479834,118.91460514277924,0.012,0
riverarebecca@gmail.com,SaddleBrown,13.72,36.72,3.12,581.85,0.3736383340512437,186.4903248428446,0.012,1
mstephens@davidson-herman.com,MediumAquaMarine,12.8,37.54,4.45,599.41,0.3409696233092802,134.69884613509075,0.006,0
alvareznancy@lucas.biz,FloralWhite,12.03,34.48,5.49,637.1,0.348897901714098,116.0473376962955,0.008,0
katherine20@yahoo.com,DarkSlateBlue,11.37,36.68,4.69,521.57,0.3099781812983048,111.2089315119549,0.006,0
awatkins@yahoo.com,Aqua,12.35,37.37,4.43,549.9,0.33047898500190037,124.13089748738206,0.012,0
vchurch@walter-martinez.com,Salmon,13.39,37.53,3.27,570.2,0.3567812321667671,174.37303535992802,0.006,0
bonnie69@lin.biz,Brown,11.81,37.15,3.2,427.2,0.31790039521129493,133.49995828126302,0.01,0
andrew06@peterson.com,Tomato,13.34,37.23,2.48,492.61,0.35831317866470114,198.6329844221837,0.012,1
ryanwerner@freeman.biz,Tomato,11.58,37.09,3.71,522.34,0.31221352622772913,140.7924148807507,0.012,0
knelson@gmail.com,RoyalBlue,10.96,37.42,4.05,408.64,0.2928914940435197,100.8987405188295,0.008,0
wrightpeter@yahoo.com,Bisque,12.96,36.14,3.92,573.42,0.35860541343095154,146.28057492842476,0.012,0
taylormason@gmail.com,DarkBlue,13.15,36.62,2.49,470.45,0.35909338178335937,188.93566709410956,0.006,1
jstark@anderson.com,Peru,12.64,36.21,3.36,461.78,0.3490748315637992,137.4344829064039,0.004,0
wjennings@gmail.com,PowderBlue,11.73,34.89,3.14,457.85,0.33619947445687953,145.81205547386767,0.002,0
rebecca45@hale-bauer.biz,OliveDrab,12.01,38.39,2.42,407.7,0.31284187775874245,168.47100476404762,0.012,1
alejandro75@hotmail.com,Cyan,14.72,38.24,1.52,452.32,0.38493722842737377,297.5787515929266,0.014,1
samuel46@love-west.net,LightSeaGreen,13.99,37.19,4.06,605.06,0.3761763813881049,149.029519943468,0.008,0
megan33@gmail.com,PeachPuff,11.37,37.61,4.6,534.71,0.3023132065324859,116.24127907798282,0.012,0
agolden@yahoo.com,Black,12.88,37.44,1.56,419.94,0.34401708482860355,269.1921351332467,0.004,1
vstafford@hotmail.com,Olive,13.38,38.73,2.25,436.52,0.3454686200498679,194.00880266275436,0.01,1
denise22@hernandez-townsend.com,Silver,11.66,36.77,3.92,519.34,0.3171063280634667,132.48466008044386,0.004,0
youngbarbara@yahoo.com,Wheat,12.89,37.64,5.71,700.92,0.34245482618345313,122.75304330069294,0.012,0
william25@mcconnell.com,Teal,11.77,37.74,2.72,423.18,0.3118706859599712,155.5808251541084,0.014,0
ijones@schaefer-carr.net,Linen,12.78,36.43,4.65,619.9,0.35080976253610313,133.31179928778508,0.004,0
heatherhall@yahoo.com,MediumSlateBlue,13.01,37.85,3.0,486.84,0.3437252220944459,162.27994590668467,0.006,0
tinasmith@martinez.info,LemonChiffon,11.98,35.29,3.92,529.54,0.3394729288899709,135.0867002329846,0.01,0
chasejennifer@hotmail.com,DarkOrchid,11.97,37.28,4.74,554.72,0.3210836823743648,117.02951117520861,0.006,0
jenniferbarnett@gmail.com,SeaGreen,12.31,36.16,3.06,497.59,0.34043140651461823,162.61105797024248,0.008,0
jared39@hotmail.com,SteelBlue,10.87,35.62,3.47,447.69,0.30516562871517044,129.0172538855176,0.01,0
briancarlson@page-fleming.com,DarkMagenta,13.39,35.69,4.34,588.71,0.3751751085689239,135.64743418261887,0.01,0
joshuaodom@gmail.com,DarkGoldenRod,13.1,38.88,2.82,491.07,0.33693414771259905,174.13823612119288,0.012,1
vickie90@lee-wilson.com,DarkSeaGreen,11.63,35.37,4.12,507.44,0.32880971646000245,123.16501864926731,0.012,0
duane56@hotmail.com,Gainsboro,11.94,38.77,3.65,521.88,0.3079700720152161,142.98078274499102,0.008,0
enash@gmail.com,HotPink,11.76,36.77,1.85,347.78,0.31982593636589784,187.98908757346615,0.008,1
sandraharrison@bailey-gordon.net,LightSeaGreen,11.98,37.04,3.45,490.74,0.32343411653795584,142.2434370308878,0.008,0
cunninghamwilliam@hotmail.com,HoneyDew,9.95,37.39,4.65,478.17,0.26611392708975856,102.83223595005678,0.008,0
teresaallen@hill-leach.info,WhiteSmoke,12.49,36.37,4.22,537.85,0.3434148929498243,127.45257643303877,0.008,0
rhonda96@little.org,GhostWhite,11.73,37.53,4.67,532.75,0.3125499517039715,114.07920469396045,0.01,0
lisacabrera@yahoo.com,DarkSlateBlue,10.63,37.5,4.65,501.87,0.2834666591075558,107.92900904752493,0.006,0
